% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.015	1	1	2	6	1	28	4395	0	0
0.015	1	1	2	6	1	28	4395	0	0
0.015	2	2	2	6	1	28	4395	0	0
0.015	2	2	2	6	1	28	4395	0	0
0.015	4	4	2	6	1	16	1836	0	0
0.015	4	4	2	6	1	16	1836	0	0
0.016	1	5	2	7	2	0	165	0	0
0.016	1	5	2	7	2	0	165	0	0
0.016	2	3	2	7	2	8	839	0	0
0.016	2	3	2	7	2	8	839	0	0
0.017	1	5	2	8	2	0	165	0	0
0.017	1	5	2	8	2	0	165	0	0
0.017	2	3	2	8	2	8	839	0	0
0.017	2	3	2	8	2	8	839	0	0
0.018	1	5	2	9	2	0	165	0	0
0.018	1	5	2	9	2	0	165	0	0
0.019	1	5	2	10	2	0	165	0	0
0.019	1	5	2	10	2	0	165	0	0
0.02	1	5	3	1	2	0	165	0	0
0.02	1	5	3	1	2	0	165	0	0
0.021	1	5	3	2	2	0	165	0	0
0.021	1	5	3	2	2	0	165	0	0
0.022	1	5	3	3	2	0	165	0	0
0.022	1	5	3	3	2	0	165	0	0
0.025	1	1	3	6	1	28	4395	0	0
0.025	1	1	3	6	1	28	4395	0	0
0.025	2	2	3	6	1	28	4395	0	0
0.025	2	2	3	6	1	28	4395	0	0
0.025	4	4	3	6	1	16	1836	0	0
0.025	4	4	3	6	1	16	1836	0	0
0.026	1	5	3	7	2	0	165	0	0
0.026	1	5	3	7	2	0	165	0	0
0.026	2	3	3	7	2	8	839	0	0
0.026	2	3	3	7	2	8	839	0	0
0.027	1	5	3	8	2	0	165	0	0
0.027	1	5	3	8	2	0	165	0	0
0.027	2	3	3	8	2	8	839	0	0
0.027	2	3	3	8	2	8	839	0	0
0.028	1	5	3	9	2	0	165	0	0
0.028	1	5	3	9	2	0	165	0	0
0.029	1	5	3	10	2	0	165	0	0
0.029	1	5	3	10	2	0	165	0	0
0.03	1	5	4	1	2	0	165	0	0
0.03	1	5	4	1	2	0	165	0	0
0.031	1	5	4	2	2	0	165	0	0
0.031	1	5	4	2	2	0	165	0	0
0.032	1	5	4	3	2	0	165	0	0
0.032	1	5	4	3	2	0	165	0	0
0.035	1	1	4	6	1	28	4395	0	0
0.035	1	1	4	6	1	28	4395	0	0
0.035	2	2	4	6	1	28	4395	0	0
0.035	2	2	4	6	1	28	4395	0	0
0.035	4	4	4	6	1	16	1836	0	0
0.035	4	4	4	6	1	16	1836	0	0
0.036	1	5	4	7	2	0	165	0	0
0.036	1	5	4	7	2	0	165	0	0
0.036	2	3	4	7	2	8	839	0	0
0.036	2	3	4	7	2	8	839	0	0
0.037	1	5	4	8	2	0	165	0	0
0.037	1	5	4	8	2	0	165	0	0
0.037	2	3	4	8	2	8	839	0	0
0.037	2	3	4	8	2	8	839	0	0
0.038	1	5	4	9	2	0	165	0	0
0.038	1	5	4	9	2	0	165	0	0
0.039	1	5	4	10	2	0	165	0	0
0.039	1	5	4	10	2	0	165	0	0
0.04	1	5	5	1	2	0	165	0	0
0.04	1	5	5	1	2	0	165	0	0
0.041	1	5	5	2	2	0	165	0	0
0.041	1	5	5	2	2	0	165	0	0
0.042	1	5	5	3	2	0	165	0	0
0.042	1	5	5	3	2	0	165	0	0
0.045	1	1	5	6	1	28	4395	0	0
0.045	1	1	5	6	1	28	4395	0	0
0.045	2	2	5	6	1	28	4395	0	0
0.045	2	2	5	6	1	28	4395	0	0
0.045	4	4	5	6	1	16	1836	0	0
0.045	4	4	5	6	1	16	1836	0	0
0.046	1	5	5	7	2	0	165	0	0
0.046	1	5	5	7	2	0	165	0	0
0.046	2	3	5	7	2	8	839	0	0
0.046	2	3	5	7	2	8	839	0	0
0.047	1	5	5	8	2	0	165	0	0
0.047	1	5	5	8	2	0	165	0	0
0.047	2	3	5	8	2	8	839	0	0
0.047	2	3	5	8	2	8	839	0	0
0.048	1	5	5	9	2	0	165	0	0
0.048	1	5	5	9	2	0	165	0	0
0.049	1	5	5	10	2	0	165	0	0
0.049	1	5	5	10	2	0	165	0	0
0.05	1	5	6	1	2	0	165	0	0
0.05	1	5	6	1	2	0	165	0	0
0.051	1	5	6	2	2	0	165	0	0
0.051	1	5	6	2	2	0	165	0	0
0.052	1	5	6	3	2	0	165	0	0
0.052	1	5	6	3	2	0	165	0	0
0.055	1	1	6	6	1	28	4395	0	0
0.055	1	1	6	6	1	28	4395	0	0
0.055	2	2	6	6	1	28	4395	0	0
0.055	2	2	6	6	1	28	4395	0	0
0.055	4	4	6	6	1	16	1836	0	0
0.055	4	4	6	6	1	16	1836	0	0
0.056	1	5	6	7	2	0	165	0	0
0.056	1	5	6	7	2	0	165	0	0
0.056	2	3	6	7	2	8	839	0	0
0.056	2	3	6	7	2	8	839	0	0
0.057	1	5	6	8	2	0	165	0	0
0.057	1	5	6	8	2	0	165	0	0
0.057	2	3	6	8	2	8	839	0	0
0.057	2	3	6	8	2	8	839	0	0
0.058	1	5	6	9	2	0	165	0	0
0.058	1	5	6	9	2	0	165	0	0
0.059	1	5	6	10	2	0	165	0	0
0.059	1	5	6	10	2	0	165	0	0
0.06	1	5	7	1	2	0	165	0	0
0.06	1	5	7	1	2	0	165	0	0
0.061	1	5	7	2	2	0	165	0	0
0.061	1	5	7	2	2	0	165	0	0
0.062	1	5	7	3	2	0	165	0	0
0.062	1	5	7	3	2	0	165	0	0
0.065	1	1	7	6	1	28	4395	0	0
0.065	1	1	7	6	1	28	4395	0	0
0.065	2	2	7	6	1	28	4395	0	0
0.065	2	2	7	6	1	28	4395	0	0
0.065	4	4	7	6	1	16	1836	0	0
0.065	4	4	7	6	1	16	1836	0	0
0.066	1	5	7	7	2	0	165	0	0
0.066	1	5	7	7	2	0	165	0	0
0.066	2	3	7	7	2	8	839	0	0
0.066	2	3	7	7	2	8	839	0	0
0.067	1	5	7	8	2	0	165	0	0
0.067	1	5	7	8	2	0	165	0	0
0.067	2	3	7	8	2	8	839	0	0
0.067	2	3	7	8	2	8	839	0	0
0.068	1	5	7	9	2	0	165	0	0
0.068	1	5	7	9	2	0	165	0	0
0.069	1	5	7	10	2	0	165	0	0
0.069	1	5	7	10	2	0	165	0	0
0.07	1	5	8	1	2	0	165	0	0
0.07	1	5	8	1	2	0	165	0	0
0.071	1	5	8	2	2	0	165	0	0
0.071	1	5	8	2	2	0	165	0	0
0.072	1	5	8	3	2	0	165	0	0
0.072	1	5	8	3	2	0	165	0	0
0.075	1	1	8	6	1	28	4395	0	0
0.075	1	1	8	6	1	28	4395	0	0
0.075	2	2	8	6	1	28	4395	0	0
0.075	2	2	8	6	1	28	4395	0	0
0.075	4	4	8	6	1	16	1836	0	0
0.075	4	4	8	6	1	16	1836	0	0
0.076	1	5	8	7	2	0	165	0	0
0.076	1	5	8	7	2	0	165	0	0
0.076	2	3	8	7	2	8	839	0	0
0.076	2	3	8	7	2	8	839	0	0
0.077	1	5	8	8	2	0	165	0	0
0.077	1	5	8	8	2	0	165	0	0
0.077	2	3	8	8	2	8	839	0	0
0.077	2	3	8	8	2	8	839	0	0
0.078	1	5	8	9	2	0	165	0	0
0.078	1	5	8	9	2	0	165	0	0
0.079	1	5	8	10	2	0	165	0	0
0.079	1	5	8	10	2	0	165	0	0
0.08	1	5	9	1	2	0	165	0	0
0.08	1	5	9	1	2	0	165	0	0
0.081	1	5	9	2	2	0	165	0	0
0.081	1	5	9	2	2	0	165	0	0
0.082	1	5	9	3	2	0	165	0	0
0.082	1	5	9	3	2	0	165	0	0
0.085	1	1	9	6	1	28	4395	0	0
0.085	1	1	9	6	1	28	4395	0	0
0.085	2	2	9	6	1	28	4395	0	0
0.085	2	2	9	6	1	28	4395	0	0
0.085	4	4	9	6	1	16	1836	0	0
0.085	4	4	9	6	1	16	1836	0	0
0.086	1	5	9	7	2	0	165	0	0
0.086	1	5	9	7	2	0	165	0	0
0.086	2	3	9	7	2	8	839	0	0
0.086	2	3	9	7	2	8	839	0	0
0.087	1	5	9	8	2	0	165	0	0
0.087	1	5	9	8	2	0	165	0	0
0.087	2	3	9	8	2	8	839	0	0
0.087	2	3	9	8	2	8	839	0	0
0.088	1	5	9	9	2	0	165	0	0
0.088	1	5	9	9	2	0	165	0	0
0.089	1	5	9	10	2	0	165	0	0
0.089	1	5	9	10	2	0	165	0	0
0.09	1	5	10	1	2	0	165	0	0
0.09	1	5	10	1	2	0	165	0	0
0.091	1	5	10	2	2	0	165	0	0
0.091	1	5	10	2	2	0	165	0	0
0.092	1	5	10	3	2	0	165	0	0
0.092	1	5	10	3	2	0	165	0	0
0.095	1	1	10	6	1	28	4395	0	0
0.095	1	1	10	6	1	28	4395	0	0
0.095	2	2	10	6	1	28	4395	0	0
0.095	2	2	10	6	1	28	4395	0	0
0.095	4	4	10	6	1	16	1836	0	0
0.095	4	4	10	6	1	16	1836	0	0
0.096	1	5	10	7	2	0	165	0	0
0.096	1	5	10	7	2	0	165	0	0
0.096	2	3	10	7	2	8	839	0	0
0.096	2	3	10	7	2	8	839	0	0
0.097	1	5	10	8	2	0	165	0	0
0.097	1	5	10	8	2	0	165	0	0
0.097	2	3	10	8	2	8	839	0	0
0.097	2	3	10	8	2	8	839	0	0
0.098	1	5	10	9	2	0	165	0	0
0.098	1	5	10	9	2	0	165	0	0
0.099	1	5	10	10	2	0	165	0	0
0.099	1	5	10	10	2	0	165	0	0
0.1	1	5	11	1	2	0	165	0	0
0.1	1	5	11	1	2	0	165	0	0
0.101	1	5	11	2	2	0	165	0	0
0.101	1	5	11	2	2	0	165	0	0
0.102	1	5	11	3	2	0	165	0	0
0.102	1	5	11	3	2	0	165	0	0
