% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.013	1	1	2	4	1	28	4395	0	0
0.013	1	1	2	4	1	28	4395	0	0
0.013	2	2	2	4	1	28	4395	0	0
0.013	2	2	2	4	1	28	4395	0	0
0.013	3	3	2	4	1	0	165	0	0
0.013	3	3	2	4	1	0	165	0	0
0.013	4	4	2	4	1	16	1836	0	0
0.013	4	4	2	4	1	16	1836	0	0
0.013	5	5	2	4	1	4	437	0	0
0.013	5	5	2	4	1	4	437	0	0
0.014	1	5	2	5	2	0	165	0	0
0.014	1	5	2	5	2	0	165	0	0
0.014	2	3	2	5	2	8	839	0	0
0.014	2	3	2	5	2	8	839	0	0
0.014	3	3	2	5	1	0	165	0	0
0.014	3	3	2	5	1	0	165	0	0
0.014	5	5	2	5	1	4	437	0	0
0.014	5	5	2	5	1	4	437	0	0
0.015	1	5	2	6	2	0	165	0	0
0.015	1	5	2	6	2	0	165	0	0
0.015	2	3	2	6	2	8	839	0	0
0.015	2	3	2	6	2	8	839	0	0
0.015	3	3	2	6	1	0	165	0	0
0.015	3	3	2	6	1	0	165	0	0
0.015	5	5	2	6	1	4	437	0	0
0.015	5	5	2	6	1	4	437	0	0
0.016	1	5	2	7	2	0	165	0	0
0.016	1	5	2	7	2	0	165	0	0
0.016	3	3	2	7	1	0	165	0	0
0.016	3	3	2	7	1	0	165	0	0
0.017	1	5	2	8	2	0	165	0	0
0.017	1	5	2	8	2	0	165	0	0
0.017	3	3	2	8	1	0	165	0	0
0.017	3	3	2	8	1	0	165	0	0
0.018	1	5	2	9	2	0	165	0	0
0.018	1	5	2	9	2	0	165	0	0
0.018	3	3	2	9	1	0	165	0	0
0.018	3	3	2	9	1	0	165	0	0
0.019	1	5	2	10	2	0	165	0	0
0.019	1	5	2	10	2	0	165	0	0
0.019	3	3	2	10	1	0	165	0	0
0.019	3	3	2	10	1	0	165	0	0
0.02	1	5	3	1	2	0	165	0	0
0.02	1	5	3	1	2	0	165	0	0
0.023	1	1	3	4	1	28	4395	0	0
0.023	1	1	3	4	1	28	4395	0	0
0.023	2	2	3	4	1	28	4395	0	0
0.023	2	2	3	4	1	28	4395	0	0
0.023	3	3	3	4	1	0	165	0	0
0.023	3	3	3	4	1	0	165	0	0
0.023	4	4	3	4	1	16	1836	0	0
