% time	cellId	Interference
0.0229286	1	1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 
0.0229286	2	2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 
0.0229286	3	1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 
0.0239286	1	1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 
0.0239286	2	2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 
0.0239286	3	1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 
0.0259286	1	1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 
0.0259286	2	2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 2.65417e-17 
0.0259286	3	1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 
0.0279286	1	1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 1.65933e-17 
