% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.015	1	1	2	6	1	28	4395	0	0
0.015	1	1	2	6	1	28	4395	0	0
0.015	2	2	2	6	1	28	4395	0	0
0.015	2	2	2	6	1	28	4395	0	0
0.016	1	5	2	7	2	0	165	0	0
0.016	1	5	2	7	2	0	165	0	0
0.016	2	3	2	7	2	8	839	0	0
0.016	2	3	2	7	2	8	839	0	0
0.017	1	5	2	8	2	0	165	0	0
0.017	1	5	2	8	2	0	165	0	0
0.017	2	3	2	8	2	8	839	0	0
0.017	2	3	2	8	2	8	839	0	0
0.017	4	4	2	8	1	16	1836	0	0
0.017	4	4	2	8	1	16	1836	0	0
0.018	1	5	2	9	2	0	165	0	0
0.018	1	5	2	9	2	0	165	0	0
0.019	1	5	2	10	2	0	165	0	0
0.019	1	5	2	10	2	0	165	0	0
0.02	1	5	3	1	2	0	165	0	0
0.02	1	5	3	1	2	0	165	0	0
0.021	1	5	3	2	2	0	165	0	0
0.021	1	5	3	2	2	0	165	0	0
0.022	1	5	3	3	2	0	165	0	0
0.022	1	5	3	3	2	0	165	0	0
0.025	1	1	3	6	1	28	4395	0	0
0.025	1	1	3	6	1	28	4395	0	0
0.025	2	2	3	6	1	28	4395	0	0
0.025	2	2	3	6	1	28	4395	0	0
0.026	1	5	3	7	2	0	165	0	0
0.026	1	5	3	7	2	0	165	0	0
0.026	2	3	3	7	2	8	839	0	0
0.026	2	3	3	7	2	8	839	0	0
0.027	1	5	3	8	2	0	165	0	0
0.027	1	5	3	8	2	0	165	0	0
0.027	2	3	3	8	2	8	839	0	0
0.027	2	3	3	8	2	8	839	0	0
0.027	4	4	3	8	1	16	1836	0	0
0.027	4	4	3	8	1	16	1836	0	0
0.028	1	5	3	9	2	0	165	0	0
0.028	1	5	3	9	2	0	165	0	0
0.029	1	5	3	10	2	0	165	0	0
0.029	1	5	3	10	2	0	165	0	0
