% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.015	1	1	2	6	1	28	4395	0	0
0.015	1	1	2	6	1	28	4395	0	0
0.016	1	2	2	7	2	0	165	0	0
0.016	1	2	2	7	2	0	165	0	0
0.017	1	3	2	8	3	0	165	0	0
0.017	1	3	2	8	3	0	165	0	0
0.018	1	4	2	9	4	0	165	0	0
0.018	1	4	2	9	4	0	165	0	0
0.019	1	5	2	10	5	0	165	0	0
0.019	1	5	2	10	5	0	165	0	0
0.02	1	2	3	1	2	0	165	0	0
0.02	1	2	3	1	2	0	165	0	0
0.021	1	3	3	2	3	0	165	0	0
0.021	1	3	3	2	3	0	165	0	0
0.022	1	4	3	3	4	0	165	0	0
0.022	1	4	3	3	4	0	165	0	0
0.023	1	2	3	4	2	0	165	0	0
0.023	1	2	3	4	2	0	165	0	0
0.024	1	5	3	5	5	0	165	0	0
0.024	1	5	3	5	5	0	165	0	0
0.025	1	1	3	6	1	28	4395	0	0
0.025	1	1	3	6	1	28	4395	0	0
0.026	1	2	3	7	2	0	165	0	0
0.026	1	2	3	7	2	0	165	0	0
0.027	1	2	3	8	2	0	165	0	0
0.027	1	2	3	8	2	0	165	0	0
0.028	1	3	3	9	3	0	165	0	0
0.028	1	3	3	9	3	0	165	0	0
0.029	1	4	3	10	4	0	165	0	0
0.029	1	4	3	10	4	0	165	0	0
0.03	1	5	4	1	5	0	165	0	0
0.03	1	5	4	1	5	0	165	0	0
0.031	1	2	4	2	2	0	165	0	0
0.031	1	2	4	2	2	0	165	0	0
0.032	1	3	4	3	3	0	165	0	0
0.032	1	3	4	3	3	0	165	0	0
0.033	1	4	4	4	4	0	165	0	0
0.033	1	4	4	4	4	0	165	0	0
0.034	1	5	4	5	5	0	165	0	0
0.034	1	5	4	5	5	0	165	0	0
0.035	1	3	4	6	3	0	165	0	0
0.035	1	3	4	6	3	0	165	0	0
0.036	1	1	4	7	1	28	4395	0	0
0.036	1	1	4	7	1	28	4395	0	0
0.037	1	2	4	8	2	0	165	0	0
0.037	1	2	4	8	2	0	165	0	0
0.038	1	3	4	9	3	0	165	0	0
0.038	1	3	4	9	3	0	165	0	0
0.039	1	3	4	10	3	0	165	0	0
0.039	1	3	4	10	3	0	165	0	0
0.04	1	4	5	1	4	0	165	0	0
0.04	1	4	5	1	4	0	165	0	0
0.041	1	5	5	2	5	0	165	0	0
0.041	1	5	5	2	5	0	165	0	0
0.042	1	2	5	3	2	0	165	0	0
0.042	1	2	5	3	2	0	165	0	0
0.043	1	3	5	4	3	0	165	0	0
0.043	1	3	5	4	3	0	165	0	0
0.044	1	4	5	5	4	0	165	0	0
0.044	1	4	5	5	4	0	165	0	0
0.045	1	1	5	6	1	28	4395	0	0
0.045	1	1	5	6	1	28	4395	0	0
0.046	1	5	5	7	5	0	165	0	0
0.046	1	5	5	7	5	0	165	0	0
0.047	1	2	5	8	2	0	165	0	0
0.047	1	2	5	8	2	0	165	0	0
0.048	1	3	5	9	3	0	165	0	0
0.048	1	3	5	9	3	0	165	0	0
0.049	1	4	5	10	4	0	165	0	0
0.049	1	4	5	10	4	0	165	0	0
0.05	1	5	6	1	5	0	165	0	0
0.05	1	5	6	1	5	0	165	0	0
0.051	1	2	6	2	2	0	165	0	0
0.051	1	2	6	2	2	0	165	0	0
0.052	1	3	6	3	3	0	165	0	0
0.052	1	3	6	3	3	0	165	0	0
0.053	1	4	6	4	4	0	165	0	0
0.053	1	4	6	4	4	0	165	0	0
0.054	1	5	6	5	5	0	165	0	0
0.054	1	5	6	5	5	0	165	0	0
0.055	1	1	6	6	1	28	4395	0	0
0.055	1	1	6	6	1	28	4395	0	0
0.056	1	2	6	7	2	0	165	0	0
0.056	1	2	6	7	2	0	165	0	0
0.057	1	3	6	8	3	0	165	0	0
0.057	1	3	6	8	3	0	165	0	0
0.058	1	4	6	9	4	0	165	0	0
0.058	1	4	6	9	4	0	165	0	0
0.059	1	5	6	10	5	0	165	0	0
0.059	1	5	6	10	5	0	165	0	0
0.06	1	2	7	1	2	0	165	0	0
0.06	1	2	7	1	2	0	165	0	0
0.061	1	3	7	2	3	0	165	0	0
0.061	1	3	7	2	3	0	165	0	0
0.062	1	4	7	3	4	0	165	0	0
0.062	1	4	7	3	4	0	165	0	0
0.063	1	5	7	4	5	0	165	0	0
0.063	1	5	7	4	5	0	165	0	0
0.064	1	2	7	5	2	0	165	0	0
0.064	1	2	7	5	2	0	165	0	0
0.065	1	1	7	6	1	28	4395	0	0
0.065	1	1	7	6	1	28	4395	0	0
0.066	1	3	7	7	3	0	165	0	0
0.066	1	3	7	7	3	0	165	0	0
0.067	1	4	7	8	4	0	165	0	0
0.067	1	4	7	8	4	0	165	0	0
0.068	1	5	7	9	5	0	165	0	0
0.068	1	5	7	9	5	0	165	0	0
0.069	1	2	7	10	2	0	165	0	0
0.069	1	2	7	10	2	0	165	0	0
0.07	1	3	8	1	3	0	165	0	0
0.07	1	3	8	1	3	0	165	0	0
0.071	1	4	8	2	4	0	165	0	0
0.071	1	4	8	2	4	0	165	0	0
0.072	1	2	8	3	2	0	165	0	0
0.072	1	2	8	3	2	0	165	0	0
0.073	1	5	8	4	5	0	165	0	0
0.073	1	5	8	4	5	0	165	0	0
0.074	1	2	8	5	2	0	165	0	0
0.074	1	2	8	5	2	0	165	0	0
0.075	1	1	8	6	1	28	4395	0	0
0.075	1	1	8	6	1	28	4395	0	0
0.076	1	2	8	7	2	0	165	0	0
0.076	1	2	8	7	2	0	165	0	0
0.077	1	3	8	8	3	0	165	0	0
0.077	1	3	8	8	3	0	165	0	0
0.078	1	4	8	9	4	0	165	0	0
0.078	1	4	8	9	4	0	165	0	0
0.079	1	5	8	10	5	0	165	0	0
0.079	1	5	8	10	5	0	165	0	0
0.08	1	2	9	1	2	0	165	0	0
0.08	1	2	9	1	2	0	165	0	0
0.081	1	3	9	2	3	0	165	0	0
0.081	1	3	9	2	3	0	165	0	0
