% time	cellId	IMSI	RNTI	rsrp	sinr
0.00121429	0	1	1	5.2843e-17	1204.99
0.00121429	0	1	1	5.2843e-17	1204.99
0.00121429	0	2	2	2.76581e-18	29.2057
0.00121429	0	2	2	2.76581e-18	29.2057
0.00121429	0	3	3	1.44799e-18	28.5282
0.00121429	0	3	3	1.44799e-18	28.5282
0.00121429	0	4	4	3.25211e-19	3.00196
0.00121429	0	4	4	3.25211e-19	3.00196
0.00121429	0	5	5	1.78492e-19	1.91598
0.00121429	0	5	5	1.78492e-19	1.91598
0.00121429	0	6	6	1.29698e-19	1.94376
0.00121429	0	6	6	1.29698e-19	1.94376
0.00121429	0	7	7	6.31693e-20	0.638825
0.00121429	0	7	7	6.31693e-20	0.638825
0.00121429	0	8	8	4.85059e-20	0.623625
0.00121429	0	8	8	4.85059e-20	0.623625
0.00121429	0	9	9	3.4809e-20	0.46145
0.00121429	0	9	9	3.4809e-20	0.46145
0.00121429	0	10	10	1.30152e-06	1.94702e+13
0.00121429	0	10	10	1.30152e-06	1.94702e+13
0.00321428	0	1	1	6.55095e-17	1245.97
0.00321428	0	1	1	6.55095e-17	1245.97
0.00321428	0	2	2	2.32478e-18	30.0017
0.00321428	0	2	2	2.32478e-18	30.0017
0.00321428	0	3	3	1.63781e-18	29.0102
0.00321428	0	3	3	1.63781e-18	29.0102
0.00321428	0	4	4	2.52697e-19	2.80034
0.00321428	0	4	4	2.52697e-19	2.80034
0.00321428	0	5	5	1.53188e-19	2.0596
0.00321428	0	5	5	1.53188e-19	2.0596
0.00321428	0	6	6	1.25595e-19	1.913
0.00321428	0	6	6	1.25595e-19	1.913
0.00321428	0	7	7	5.22396e-20	0.658001
0.00321428	0	7	7	5.22396e-20	0.658001
0.00321428	0	8	8	4.35539e-20	0.605985
0.00321428	0	8	8	4.35539e-20	0.605985
0.00321428	0	9	9	3.19161e-20	0.457982
0.00321428	0	9	9	3.19161e-20	0.457982
0.00321428	0	10	10	1.23853e-06	1.82954e+13
0.00321428	0	10	10	1.23853e-06	1.82954e+13
0.00521428	0	1	1	7.05607e-17	1284.81
0.00521428	0	1	1	7.05607e-17	1284.81
0.00521428	0	2	2	2.19812e-18	31.0218
0.00521428	0	2	2	2.19812e-18	31.0218
0.00521428	0	3	3	1.71014e-18	29.4205
0.00521428	0	3	3	1.71014e-18	29.4205
0.00521428	0	4	4	2.2464e-19	2.62188
0.00521428	0	4	4	2.2464e-19	2.62188
0.00521428	0	5	5	1.48173e-19	2.2282
0.00521428	0	5	5	1.48173e-19	2.2282
0.00521428	0	6	6	1.23512e-19	1.87789
0.00521428	0	6	6	1.23512e-19	1.87789
0.00521428	0	7	7	4.89795e-20	0.675759
0.00521428	0	7	7	4.89795e-20	0.675759
0.00521428	0	8	8	4.15455e-20	0.589217
0.00521428	0	8	8	4.15455e-20	0.589217
0.00521428	0	9	9	3.0891e-20	0.455271
0.00521428	0	9	9	3.0891e-20	0.455271
0.00521428	0	10	10	1.19368e-06	1.7178e+13
0.00521428	0	10	10	1.19368e-06	1.7178e+13
0.00721428	0	1	1	7.36716e-17	1321.3
0.00721428	0	1	1	7.36716e-17	1321.3
0.00721428	0	2	2	2.15352e-18	32.2578
0.00721428	0	2	2	2.15352e-18	32.2578
0.00721428	0	3	3	1.75191e-18	29.7567
0.00721428	0	3	3	1.75191e-18	29.7567
0.00721428	0	4	4	2.08091e-19	2.46871
0.00721428	0	4	4	2.08091e-19	2.46871
0.00721428	0	5	5	1.4862e-19	2.42136
0.00721428	0	5	5	1.4862e-19	2.42136
0.00721428	0	6	6	1.21871e-19	1.83898
0.00721428	0	6	6	1.21871e-19	1.83898
0.00721428	0	7	7	4.76114e-20	0.69185
0.00721428	0	7	7	4.76114e-20	0.69185
0.00721428	0	8	8	4.02918e-20	0.573743
0.00721428	0	8	8	4.02918e-20	0.573743
0.00721428	0	9	9	3.03442e-20	0.453324
0.00721428	0	9	9	3.03442e-20	0.453324
0.00721428	0	10	10	1.15429e-06	1.6121e+13
