% time	cellId	Interference
0.0229286	1	1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 
0.0229286	2	1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 
0.0239286	1	1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 
0.0239286	2	1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 
0.0259286	1	1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 
0.0259286	2	1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 
0.0279286	1	1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 
0.0279286	2	1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 
0.0299286	1	1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 
0.0299286	2	1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 
0.0319286	1	1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 
0.0319286	2	1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 
0.0339286	1	1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 
0.0339286	2	1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 
0.0359286	1	1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 
0.0359286	2	1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 
0.0379286	1	1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 
0.0379286	2	1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 
0.0399286	1	1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 
0.0399286	2	1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 
0.0419286	1	1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 
0.0419286	2	1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 
0.0439286	1	1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 
0.0439286	2	1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 
0.0459286	1	1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 
0.0459286	2	1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 
0.0479286	1	1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 
0.0479286	2	1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 
0.0499286	1	1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 
0.0499286	2	1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 1.32772e-17 
