% time	cellId	IMSI	RNTI	sinrLinear
0.000999999	1	1	1	23.4136
0.002	1	2	2	2.97639
0.003	1	3	3	0.896774
0.004	1	4	4	0.384292
0.005	1	5	5	0.199805
0.006	1	6	6	0.0506731
0.007	1	7	7	0.0118601
0.008	1	8	8	0.0734564
0.009	1	9	9	0.0220144
0.01	1	10	10	1.17534e+12
0.011	1	1	1	40.9449
0.012	1	2	2	3.09748
0.013	1	3	3	0.716179
0.014	1	4	4	0.241958
0.015	1	5	5	0.0831059
0.016	1	6	6	0.0390759
0.017	1	7	7	0.01134
0.018	1	8	8	0.0717825
0.019	1	9	9	0.0250826
0.02	1	10	10	1.33102e+12
0.021	1	1	1	35.9395
0.022	1	2	2	3.21223
0.023	1	3	3	1.07035
0.024	1	4	4	0.247981
0.025	1	5	5	0.0750938
0.026	1	6	6	0.0301991
0.027	1	7	7	0.0137748
0.028	1	8	8	0.0623436
0.029	1	9	9	0.0282043
0.03	1	10	10	1.44351e+12
0.031	1	1	1	31.4853
0.032	1	2	2	3.13051
0.033	1	3	3	1.50849
0.034	1	4	4	0.233267
0.035	1	5	5	0.101131
0.036	1	6	6	0.0267946
0.037	1	7	7	0.0176794
0.038	1	8	8	0.0479558
0.039	1	9	9	0.0297324
0.04	1	10	10	1.47628e+12
0.041	1	1	1	27.9624
0.042	1	2	2	2.82097
0.043	1	3	3	1.95498
0.044	1	4	4	0.202075
0.045	1	5	5	0.151475
0.046	1	6	6	0.0300849
0.047	1	7	7	0.0216088
0.048	1	8	8	0.0328028
0.049	1	9	9	0.0287111
0.05	1	10	10	1.42797e+12
0.051	1	1	1	25.4023
0.052	1	2	2	2.33425
0.053	1	3	3	2.32342
0.054	1	4	4	0.164589
0.055	1	5	5	0.207942
0.056	1	6	6	0.0394884
0.057	1	7	7	0.0245824
0.058	1	8	8	0.0216909
0.059	1	9	9	0.0251458
0.06	1	10	10	1.3311e+12
0.061	1	1	1	23.6059
0.062	1	2	2	1.78616
0.063	1	3	3	2.53993
0.064	1	4	4	0.132808
0.065	1	5	5	0.25112
0.066	1	6	6	0.0529926
0.067	1	7	7	0.0262423
0.068	1	8	8	0.0180302
0.069	1	9	9	0.01985
0.07	1	10	10	1.24518e+12
0.071	1	1	1	22.2513
0.072	1	2	2	1.29227
0.073	1	3	3	2.55976
0.074	1	4	4	0.117354
0.075	1	5	5	0.266369
0.076	1	6	6	0.0682554
0.077	1	7	7	0.0267989
0.078	1	8	8	0.0228334
0.079	1	9	9	0.0142585
0.08	1	10	10	1.22444e+12
0.081	1	1	1	21.1119
0.082	1	2	2	0.945588
0.083	1	3	3	2.38974
0.084	1	4	4	0.124576
0.085	1	5	5	0.249009
0.086	1	6	6	0.0830651
0.087	1	7	7	0.0266143
0.088	1	8	8	0.0342372
0.089	1	9	9	0.00980832
0.09	1	10	10	1.30692e+12
0.091	1	1	1	20.0521
0.092	1	2	2	0.783592
0.093	1	3	3	2.07394
0.094	1	4	4	0.154143
0.095	1	5	5	0.206612
0.096	1	6	6	0.0959859
0.097	1	7	7	0.0258946
0.098	1	8	8	0.0481339
0.099	1	9	9	0.00760048
0.1	1	10	10	1.49322e+12
0.101	1	1	1	19.0249
0.102	1	2	2	0.791774
0.103	1	3	3	1.68882
0.104	1	4	4	0.199352
0.105	1	5	5	0.155805
0.106	1	6	6	0.106328
0.107	1	7	7	0.0246543
0.108	1	8	8	0.0596561
