% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.021	1	1	3	2	1	28	9422	0	0
0.022	1	2	3	3	2	28	9422	0	0
0.023	1	3	3	4	3	28	9422	0	0
0.024	1	4	3	5	4	28	9422	0	0
0.025	1	5	3	6	5	28	9422	0	0
0.026	1	6	3	7	6	28	9422	0	0
0.027	1	7	3	8	7	28	7972	0	0
0.027	1	8	3	8	8	28	1095	0	0
0.028	1	9	3	9	9	28	7708	0	0
0.028	1	10	3	9	10	28	1479	0	0
0.031	1	8	4	2	8	28	9422	0	0
0.032	1	10	4	3	10	28	9422	0	0
0.033	1	7	4	4	7	28	1479	0	0
0.033	1	9	4	4	9	28	7708	0	0
0.034	1	1	4	5	1	28	9422	0	0
0.035	1	2	4	6	2	28	8889	0	0
0.035	1	3	4	6	3	28	373	0	0
0.036	1	4	4	7	4	28	9422	0	0
0.037	1	5	4	8	5	28	9422	0	0
0.038	1	3	4	9	3	28	1095	0	0
0.038	1	6	4	9	6	28	7972	0	0
0.041	1	3	5	2	3	28	373	0	0
0.041	1	7	5	2	7	28	8889	0	0
0.042	1	3	5	3	3	28	1095	0	0
0.042	1	8	5	3	8	28	7972	0	0
0.043	1	10	5	4	10	28	9422	0	0
0.044	1	6	5	5	6	28	1479	0	0
0.044	1	9	5	5	9	28	7708	0	0
0.045	1	2	5	6	2	28	9422	0	0
0.046	1	1	5	7	1	28	9422	0	0
0.047	1	4	5	8	4	28	9422	0	0
0.048	1	5	5	9	5	28	9422	0	0
0.051	1	3	6	2	3	28	9422	0	0
0.052	1	6	6	3	6	28	749	0	0
0.052	1	7	6	3	7	28	7972	0	0
0.052	1	10	6	3	10	28	373	0	0
0.053	1	6	6	4	6	28	1836	0	0
0.053	1	8	6	4	8	28	6882	0	0
0.053	1	10	6	4	10	28	373	0	0
0.054	1	10	6	5	10	28	9422	0	0
0.055	1	2	6	6	2	28	1095	0	0
0.055	1	9	6	6	9	28	7972	0	0
0.056	1	1	6	7	1	28	9422	0	0
0.057	1	4	6	8	4	28	9422	0	0
0.058	1	5	6	9	5	16	3822	0	0
0.061	1	6	7	2	6	28	9422	0	0
0.062	1	3	7	3	3	28	9422	0	0
0.063	1	2	7	4	2	28	373	0	0
0.063	1	7	7	4	7	28	1479	0	0
0.063	1	8	7	4	8	28	7407	0	0
0.064	1	2	7	5	2	28	9422	0	0
0.065	1	9	7	6	9	28	7972	0	0
0.065	1	10	7	6	10	28	1095	0	0
0.066	1	5	7	7	5	28	9422	0	0
0.067	1	1	7	8	1	28	9422	0	0
0.068	1	4	7	9	4	28	9422	0	0
0.071	1	6	8	2	6	28	749	0	0
0.071	1	7	8	2	7	28	8601	0	0
0.072	1	10	8	3	10	28	9422	0	0
0.073	1	6	8	4	6	28	9422	0	0
0.074	1	3	8	5	3	28	9422	0	0
0.075	1	2	8	6	2	28	1095	0	0
0.075	1	8	8	6	8	28	7972	0	0
0.076	1	5	8	7	5	28	1095	0	0
0.076	1	9	8	7	9	28	7972	0	0
0.077	1	1	8	8	1	28	9422	0	0
0.078	1	4	8	9	4	28	9422	0	0
0.081	1	2	9	2	2	28	749	0	0
0.081	1	7	9	2	7	28	8601	0	0
0.082	1	2	9	3	2	28	9422	0	0
0.083	1	10	9	4	10	28	9422	0	0
0.084	1	5	9	5	5	28	9422	0	0
0.085	1	6	9	6	6	28	373	0	0
0.085	1	8	9	6	8	28	8889	0	0
0.086	1	3	9	7	3	28	8889	0	0
0.086	1	6	9	7	6	28	373	0	0
0.087	1	6	9	8	6	28	9422	0	0
0.088	1	1	9	9	1	28	1095	0	0
0.088	1	9	9	9	9	28	7972	0	0
0.089	1	4	9	10	4	28	9422	0	0
0.091	1	7	10	2	7	28	9422	0	0
0.092	1	2	10	3	2	28	9422	0	0
0.093	1	8	10	4	8	28	8889	0	0
0.093	1	10	10	4	10	28	373	0	0
0.094	1	5	10	5	5	28	9422	0	0
0.095	1	3	10	6	3	28	8889	0	0
0.095	1	10	10	6	10	28	373	0	0
0.096	1	10	10	7	10	28	9422	0	0
0.097	1	1	10	8	1	28	373	0	0
0.097	1	6	10	8	6	28	8889	0	0
0.098	1	1	10	9	1	28	1095	0	0
0.098	1	9	10	9	9	28	7972	0	0
0.099	1	4	10	10	4	28	9422	0	0
0.101	1	1	11	2	1	28	9422	0	0
0.102	1	2	11	3	2	28	373	0	0
0.102	1	7	11	3	7	28	8889	0	0
0.103	1	2	11	4	2	28	9422	0	0
0.104	1	3	11	5	3	28	749	0	0
0.104	1	8	11	5	8	28	8601	0	0
0.105	1	5	11	6	5	28	9422	0	0
0.106	1	3	11	7	3	28	9422	0	0
0.107	1	10	11	8	10	28	9422	0	0
0.108	1	6	11	9	6	28	8889	0	0
0.108	1	9	11	9	9	28	373	0	0
0.109	1	4	11	10	4	28	749	0	0
0.109	1	9	11	10	9	28	8601	0	0
0.11	1	4	12	1	4	16	3822	0	0
0.111	1	1	12	2	1	28	373	0	0
0.111	1	7	12	2	7	28	8889	0	0
0.112	1	1	12	3	1	28	9422	0	0
0.113	1	2	12	4	2	28	9422	0	0
0.114	1	5	12	5	5	28	749	0	0
0.114	1	8	12	5	8	28	8601	0	0
0.115	1	3	12	6	3	28	9422	0	0
0.116	1	6	12	7	6	28	9422	0	0
0.117	1	5	12	8	5	28	9422	0	0
0.118	1	10	12	9	10	28	9422	0	0
0.119	1	4	12	10	4	28	373	0	0
0.119	1	9	12	10	9	28	8889	0	0
0.12	1	4	13	1	4	24	6882	0	0
0.121	1	1	13	2	1	28	373	0	0
0.121	1	7	13	2	7	28	8889	0	0
0.122	1	1	13	3	1	28	9422	0	0
0.123	1	2	13	4	2	28	1479	0	0
0.123	1	8	13	4	8	28	7708	0	0
0.124	1	3	13	5	3	28	8889	0	0
0.124	1	6	13	5	6	28	373	0	0
0.125	1	5	13	6	5	28	9422	0	0
0.126	1	6	13	7	6	28	9422	0	0
0.127	1	10	13	8	10	28	9422	0	0
0.128	1	4	13	9	4	28	1095	0	0
0.128	1	9	13	9	9	28	7972	0	0
0.131	1	2	14	2	2	28	9422	0	0
0.132	1	4	14	3	4	28	373	0	0
0.132	1	7	14	3	7	28	8889	0	0
0.133	1	4	14	4	4	28	9422	0	0
0.134	1	1	14	5	1	28	1836	0	0
0.134	1	8	14	5	8	28	7407	0	0
0.135	1	3	14	6	3	28	9422	0	0
0.136	1	5	14	7	5	28	1095	0	0
0.136	1	9	14	7	9	28	7972	0	0
0.137	1	6	14	8	6	28	9422	0	0
0.138	1	10	14	9	10	28	9422	0	0
0.141	1	1	15	2	1	28	9422	0	0
0.142	1	2	15	3	2	28	9422	0	0
0.143	1	5	15	4	5	28	9422	0	0
0.144	1	7	15	5	7	28	8889	0	0
0.144	1	8	15	5	8	28	373	0	0
0.145	1	4	15	6	4	28	2577	0	0
0.145	1	8	15	6	8	28	6594	0	0
0.146	1	9	15	7	9	28	9422	0	0
0.147	1	3	15	8	3	28	9422	0	0
0.148	1	6	15	9	6	28	9422	0	0
0.149	1	10	15	10	10	28	9422	0	0
0.151	1	4	16	2	4	28	9422	0	0
0.152	1	8	16	3	8	28	6594	0	0
0.152	1	1	16	3	1	28	2577	0	0
0.153	1	2	16	4	2	28	9422	0	0
0.154	1	5	16	5	5	28	2961	0	0
0.154	1	8	16	5	8	28	6378	0	0
0.155	1	7	16	6	7	28	8889	0	0
0.155	1	9	16	6	9	28	373	0	0
0.156	1	9	16	7	9	28	9422	0	0
0.157	1	3	16	8	3	28	9422	0	0
0.158	1	6	16	9	6	28	9422	0	0
0.159	1	10	16	10	10	28	9422	0	0
0.161	1	1	17	2	1	28	9422	0	0
0.162	1	5	17	3	5	28	9422	0	0
0.163	1	4	17	4	4	28	9422	0	0
0.164	1	2	17	5	2	28	1836	0	0
0.164	1	8	17	5	8	28	7407	0	0
0.165	1	7	17	6	7	28	8889	0	0
0.165	1	9	17	6	9	28	373	0	0
0.166	1	9	17	7	9	28	9422	0	0
0.167	1	3	17	8	3	28	9422	0	0
0.168	1	6	17	9	6	28	9422	0	0
0.169	1	10	17	10	10	28	9422	0	0
0.171	1	1	18	2	1	28	9422	0	0
0.172	1	2	18	3	2	28	9422	0	0
0.173	1	5	18	4	5	28	9422	0	0
0.174	1	4	18	5	4	28	749	0	0
0.174	1	8	18	5	8	28	8601	0	0
0.175	1	4	18	6	4	28	9422	0	0
0.176	1	7	18	7	7	28	8889	0	0
0.176	1	9	18	7	9	28	373	0	0
0.177	1	3	18	8	3	28	9422	0	0
0.178	1	9	18	9	9	28	9422	0	0
0.179	1	6	18	10	6	28	9422	0	0
0.18	1	10	19	1	10	28	9422	0	0
0.181	1	1	19	2	1	28	9422	0	0
0.182	1	2	19	3	2	28	9422	0	0
0.183	1	5	19	4	5	28	749	0	0
0.183	1	8	19	4	8	28	8601	0	0
0.184	1	4	19	5	4	28	373	0	0
0.184	1	5	19	5	5	28	8889	0	0
0.185	1	4	19	6	4	28	9422	0	0
0.186	1	3	19	7	3	28	373	0	0
0.186	1	7	19	7	7	28	8889	0	0
0.187	1	9	19	8	9	28	9422	0	0
0.188	1	3	19	9	3	28	9422	0	0
0.189	1	6	19	10	6	28	9422	0	0
0.19	1	10	20	1	10	28	9422	0	0
0.191	1	1	20	2	1	28	9422	0	0
0.192	1	2	20	3	2	28	8889	0	0
0.192	1	8	20	3	8	28	373	0	0
0.193	1	5	20	4	5	28	373	0	0
0.193	1	8	20	4	8	28	8889	0	0
0.194	1	5	20	5	5	28	9422	0	0
0.195	1	4	20	6	4	28	9422	0	0
0.196	1	7	20	7	7	28	8889	0	0
0.196	1	9	20	7	9	28	373	0	0
0.197	1	3	20	8	3	28	9422	0	0
0.198	1	9	20	9	9	28	9422	0	0
0.199	1	6	20	10	6	28	9422	0	0
0.2	1	10	21	1	10	28	9422	0	0
0.201	1	1	21	2	1	28	9422	0	0
0.202	1	2	21	3	2	28	9422	0	0
0.203	1	8	21	4	8	28	9422	0	0
0.204	1	5	21	5	5	28	9422	0	0
0.205	1	4	21	6	4	28	9422	0	0
0.206	1	3	21	7	3	28	373	0	0
0.206	1	7	21	7	7	28	8889	0	0
0.207	1	9	21	8	9	28	9422	0	0
0.208	1	3	21	9	3	28	9422	0	0
0.209	1	6	21	10	6	28	9422	0	0
0.21	1	10	22	1	10	28	9422	0	0
0.211	1	1	22	2	1	28	9422	0	0
0.212	1	2	22	3	2	28	9422	0	0
0.213	1	5	22	4	5	28	749	0	0
0.213	1	8	22	4	8	28	8601	0	0
0.214	1	5	22	5	5	28	8601	0	0
0.214	1	7	22	5	7	28	749	0	0
0.215	1	4	22	6	4	28	9422	0	0
0.216	1	7	22	7	7	28	8889	0	0
0.216	1	9	22	7	9	28	373	0	0
0.217	1	3	22	8	3	28	9422	0	0
0.218	1	9	22	9	9	28	9422	0	0
0.219	1	6	22	10	6	28	9422	0	0
0.22	1	10	23	1	10	28	9422	0	0
0.221	1	1	23	2	1	28	9422	0	0
0.222	1	2	23	3	2	28	9422	0	0
0.223	1	5	23	4	5	28	749	0	0
0.223	1	8	23	4	8	28	8601	0	0
0.224	1	4	23	5	4	28	373	0	0
0.224	1	5	23	5	5	28	8889	0	0
0.225	1	4	23	6	4	28	749	0	0
0.225	1	7	23	6	7	28	8601	0	0
0.226	1	3	23	7	3	28	9422	0	0
0.227	1	9	23	8	9	28	9422	0	0
0.228	1	6	23	9	6	28	9422	0	0
0.229	1	10	23	10	10	28	9422	0	0
0.231	1	1	24	2	1	28	749	0	0
0.231	1	4	24	2	4	28	8601	0	0
0.232	1	2	24	3	2	28	9422	0	0
0.233	1	1	24	4	1	28	373	0	0
0.233	1	8	24	4	8	28	8889	0	0
0.234	1	5	24	5	5	28	9422	0	0
0.235	1	3	24	6	3	28	749	0	0
0.235	1	7	24	6	7	28	8601	0	0
0.236	1	9	24	7	9	28	9422	0	0
0.237	1	3	24	8	3	28	9422	0	0
0.238	1	6	24	9	6	28	8889	0	0
0.238	1	10	24	9	10	28	373	0	0
0.239	1	10	24	10	10	28	9422	0	0
0.241	1	1	25	2	1	28	9422	0	0
0.242	1	4	25	3	4	28	9422	0	0
0.243	1	8	25	4	8	28	9422	0	0
0.244	1	2	25	5	2	28	9422	0	0
0.245	1	5	25	6	5	28	9422	0	0
0.246	1	7	25	7	7	28	8601	0	0
0.246	1	9	25	7	9	28	749	0	0
0.247	1	3	25	8	3	28	373	0	0
0.247	1	6	25	8	6	28	8889	0	0
0.248	1	3	25	9	3	28	373	0	0
0.248	1	9	25	9	9	28	8889	0	0
0.249	1	3	25	10	3	28	9422	0	0
0.25	1	10	26	1	10	28	9422	0	0
0.251	1	1	26	2	1	28	9422	0	0
0.252	1	4	26	3	4	28	9422	0	0
0.253	1	8	26	4	8	28	9422	0	0
0.254	1	2	26	5	2	28	9422	0	0
0.255	1	5	26	6	5	28	1095	0	0
0.255	1	7	26	6	7	28	7972	0	0
0.256	1	6	26	7	6	28	8601	0	0
0.256	1	9	26	7	9	28	749	0	0
0.257	1	9	26	8	9	28	9422	0	0
0.258	1	3	26	9	3	28	9422	0	0
0.259	1	10	26	10	10	28	9422	0	0
0.261	1	1	27	2	1	28	9422	0	0
0.262	1	5	27	3	5	28	9422	0	0
0.263	1	4	27	4	4	28	9422	0	0
0.264	1	2	27	5	2	28	1095	0	0
0.264	1	8	27	5	8	28	7972	0	0
0.265	1	6	27	6	6	28	749	0	0
0.265	1	7	27	6	7	28	8601	0	0
0.266	1	6	27	7	6	28	8889	0	0
0.266	1	9	27	7	9	28	373	0	0
0.267	1	9	27	8	9	28	9422	0	0
0.268	1	3	27	9	3	28	9422	0	0
0.269	1	10	27	10	10	28	9422	0	0
0.271	1	2	28	2	2	28	9422	0	0
0.272	1	1	28	3	1	28	9422	0	0
