% time	cellId	IMSI	RNTI	rsrp	sinr
0.00121429	0	1	1	2.459e-06	5.60728e+13
0.00121429	0	1	1	2.459e-06	5.60728e+13
0.00121429	0	2	2	1.02963e-06	1.08725e+13
0.00121429	0	2	2	1.02963e-06	1.08725e+13
0.00121429	0	3	3	1.81928e-06	3.58433e+13
0.00121429	0	3	3	1.81928e-06	3.58433e+13
0.00121429	0	4	4	9.68536e-07	8.94036e+12
0.00121429	0	4	4	9.68536e-07	8.94036e+12
0.00121429	0	5	5	1.03824e-06	1.11447e+13
0.00121429	0	5	5	1.03824e-06	1.11447e+13
0.00121429	0	6	6	1.30364e-06	1.95374e+13
0.00121429	0	6	6	1.30364e-06	1.95374e+13
0.00121429	0	7	7	1.00825e-06	1.01964e+13
0.00121429	0	7	7	1.00825e-06	1.01964e+13
0.00121429	0	8	8	1.15567e-06	1.48581e+13
0.00121429	0	8	8	1.15567e-06	1.48581e+13
0.00121429	0	9	9	1.18084e-06	1.56539e+13
0.00121429	0	9	9	1.18084e-06	1.56539e+13
0.00121429	0	10	10	1.30152e-06	1.94702e+13
0.00121429	0	10	10	1.30152e-06	1.94702e+13
0.00321428	0	1	1	3.04842e-06	5.79799e+13
0.00321428	0	1	1	3.04842e-06	5.79799e+13
0.00321428	0	2	2	8.65449e-07	1.11688e+13
0.00321428	0	2	2	8.65449e-07	1.11688e+13
0.00321428	0	3	3	2.05777e-06	3.64489e+13
0.00321428	0	3	3	2.05777e-06	3.64489e+13
0.00321428	0	4	4	7.52576e-07	8.33989e+12
0.00321428	0	4	4	7.52576e-07	8.33989e+12
0.00321428	0	5	5	8.91058e-07	1.19801e+13
0.00321428	0	5	5	8.91058e-07	1.19801e+13
0.00321428	0	6	6	1.2624e-06	1.92282e+13
0.00321428	0	6	6	1.2624e-06	1.92282e+13
0.00321428	0	7	7	8.33804e-07	1.05024e+13
0.00321428	0	7	7	8.33804e-07	1.05024e+13
0.00321428	0	8	8	1.03769e-06	1.44378e+13
0.00321428	0	8	8	1.03769e-06	1.44378e+13
0.00321428	0	9	9	1.0827e-06	1.55362e+13
0.00321428	0	9	9	1.0827e-06	1.55362e+13
0.00321428	0	10	10	1.23853e-06	1.82954e+13
0.00321428	0	10	10	1.23853e-06	1.82954e+13
0.00521428	0	1	1	3.28347e-06	5.97872e+13
0.00521428	0	1	1	3.28347e-06	5.97872e+13
0.00521428	0	2	2	8.18299e-07	1.15485e+13
0.00521428	0	2	2	8.18299e-07	1.15485e+13
0.00521428	0	3	3	2.14865e-06	3.69644e+13
0.00521428	0	3	3	2.14865e-06	3.69644e+13
0.00521428	0	4	4	6.69018e-07	7.8084e+12
0.00521428	0	4	4	6.69018e-07	7.8084e+12
0.00521428	0	5	5	8.61885e-07	1.29609e+13
0.00521428	0	5	5	8.61885e-07	1.29609e+13
0.00521428	0	6	6	1.24146e-06	1.88753e+13
0.00521428	0	6	6	1.24146e-06	1.88753e+13
0.00521428	0	7	7	7.81769e-07	1.07859e+13
0.00521428	0	7	7	7.81769e-07	1.07859e+13
0.00521428	0	8	8	9.89839e-07	1.40383e+13
0.00521428	0	8	8	9.89839e-07	1.40383e+13
0.00521428	0	9	9	1.04792e-06	1.54443e+13
0.00521428	0	9	9	1.04792e-06	1.54443e+13
0.00521428	0	10	10	1.19368e-06	1.7178e+13
0.00521428	0	10	10	1.19368e-06	1.7178e+13
0.00721428	0	1	1	3.42823e-06	6.14852e+13
0.00721428	0	1	1	3.42823e-06	6.14852e+13
0.00721428	0	2	2	8.01693e-07	1.20087e+13
0.00721428	0	2	2	8.01693e-07	1.20087e+13
0.00721428	0	3	3	2.20113e-06	3.73868e+13
0.00721428	0	3	3	2.20113e-06	3.73868e+13
0.00721428	0	4	4	6.19731e-07	7.35226e+12
0.00721428	0	4	4	6.19731e-07	7.35226e+12
0.00721428	0	5	5	8.64484e-07	1.40844e+13
0.00721428	0	5	5	8.64484e-07	1.40844e+13
0.00721428	0	6	6	1.22497e-06	1.84842e+13
0.00721428	0	6	6	1.22497e-06	1.84842e+13
0.00721428	0	7	7	7.59933e-07	1.10427e+13
0.00721428	0	7	7	7.59933e-07	1.10427e+13
