% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.016	300	2995	2	7	5	0	4
0.016	300	2996	2	7	6	2	9
0.016	300	2997	2	7	7	4	15
0.016	300	2998	2	7	8	8	32
0.016	300	2999	2	7	9	16	75
0.016	300	3000	2	7	10	28	185
0.017	300	2995	2	8	5	0	4
0.017	300	2996	2	8	6	2	9
0.017	300	2997	2	8	7	4	15
0.017	300	2998	2	8	8	8	32
0.017	300	2999	2	8	9	16	75
0.017	300	3000	2	8	10	28	185
0.018	300	2995	2	9	5	0	4
0.018	300	2996	2	9	6	2	9
0.018	300	2997	2	9	7	4	15
0.018	300	2998	2	9	8	8	32
0.018	300	2999	2	9	9	16	75
0.018	300	3000	2	9	10	28	185
0.019	300	2995	2	10	5	0	4
0.019	300	2996	2	10	6	2	9
0.019	300	2997	2	10	7	4	15
0.019	300	2998	2	10	8	8	32
0.019	300	2999	2	10	9	16	75
0.019	300	3000	2	10	10	28	185
0.02	300	2995	3	1	5	0	4
0.02	300	2996	3	1	6	2	9
0.02	300	2997	3	1	7	4	15
0.02	300	2998	3	1	8	8	32
0.02	300	2999	3	1	9	16	75
0.02	300	3000	3	1	10	28	185
0.021	300	2995	3	2	5	0	4
0.021	300	2996	3	2	6	2	9
0.021	300	2997	3	2	7	4	15
0.021	300	2998	3	2	8	8	32
0.021	300	2999	3	2	9	16	75
0.021	300	3000	3	2	10	28	185
0.022	300	2995	3	3	5	0	4
0.022	300	2996	3	3	6	2	9
0.022	300	2997	3	3	7	4	15
0.022	300	2998	3	3	8	8	32
0.022	300	2999	3	3	9	16	75
0.022	300	3000	3	3	10	28	185
0.023	300	3000	3	4	10	28	185
0.024	300	3000	3	5	10	28	185
0.025	300	2995	3	6	5	0	4
0.025	300	3000	3	6	10	28	185
0.026	300	2995	3	7	5	12	47
0.026	300	2996	3	7	6	2	9
0.026	300	3000	3	7	10	28	185
0.027	300	2997	3	8	7	4	15
0.027	300	3000	3	8	10	28	185
0.028	300	2996	3	9	6	14	61
0.028	300	2998	3	9	8	8	32
0.028	300	3000	3	9	10	28	185
0.029	300	2999	3	10	9	16	75
0.029	300	3000	3	10	10	28	185
0.03	300	2999	4	1	9	16	75
0.03	300	3000	4	1	10	28	185
0.031	300	3000	4	2	10	28	185
0.032	300	3000	4	3	10	28	185
0.033	300	3000	4	4	10	28	185
0.034	300	3000	4	5	10	28	185
0.035	300	2995	4	6	5	0	4
0.035	300	3000	4	6	10	28	185
0.036	300	2996	4	7	6	2	9
0.036	300	3000	4	7	10	28	185
0.037	300	2997	4	8	7	4	15
0.037	300	3000	4	8	10	28	185
0.038	300	2998	4	9	8	8	32
0.038	300	3000	4	9	10	28	185
0.039	300	2999	4	10	9	16	75
0.039	300	3000	4	10	10	28	185
0.04	300	2999	5	1	9	16	75
0.04	300	3000	5	1	10	28	185
0.041	300	3000	5	2	10	28	185
0.042	300	3000	5	3	10	28	185
0.043	300	2996	5	4	6	14	61
0.043	300	3000	5	4	10	28	185
0.044	300	3000	5	5	10	28	185
0.045	300	2995	5	6	5	0	4
0.045	300	3000	5	6	10	28	185
0.046	300	2996	5	7	6	2	9
0.046	300	3000	5	7	10	28	185
0.047	300	2997	5	8	7	4	15
0.047	300	3000	5	8	10	28	185
0.048	300	2998	5	9	8	8	32
0.048	300	3000	5	9	10	28	185
0.049	300	2999	5	10	9	16	75
0.049	300	3000	5	10	10	28	185
0.05	300	2999	6	1	9	16	75
0.05	300	3000	6	1	10	28	185
0.051	300	3000	6	2	10	28	185
0.052	300	3000	6	3	10	28	185
0.053	300	3000	6	4	10	28	185
0.054	300	3000	6	5	10	28	185
0.055	300	2995	6	6	5	0	4
0.055	300	3000	6	6	10	28	185
0.056	300	2996	6	7	6	2	9
0.056	300	3000	6	7	10	28	185
0.057	300	2997	6	8	7	4	15
0.057	300	3000	6	8	10	28	185
0.058	300	2998	6	9	8	8	32
0.058	300	3000	6	9	10	28	185
0.059	300	2999	6	10	9	16	75
0.059	300	3000	6	10	10	28	185
0.06	300	2999	7	1	9	16	75
0.06	300	3000	7	1	10	28	185
0.061	300	3000	7	2	10	28	185
0.062	300	3000	7	3	10	28	185
0.063	300	3000	7	4	10	28	185
0.064	300	3000	7	5	10	28	185
0.065	300	2995	7	6	5	0	4
0.065	300	3000	7	6	10	28	185
0.066	300	2996	7	7	6	2	9
0.066	300	3000	7	7	10	28	185
0.067	300	2997	7	8	7	4	15
0.067	300	3000	7	8	10	28	185
0.068	300	2998	7	9	8	8	32
0.068	300	3000	7	9	10	28	185
0.069	300	2999	7	10	9	16	75
0.069	300	3000	7	10	10	28	185
0.07	300	2999	8	1	9	16	75
0.07	300	3000	8	1	10	28	185
0.071	300	3000	8	2	10	28	185
0.072	300	3000	8	3	10	28	185
0.073	300	3000	8	4	10	28	185
0.074	300	2997	8	5	7	18	79
0.074	300	3000	8	5	10	28	185
