% time	cellId	IMSI	RNTI	sinrLinear
0.000999999	1	1	1	1.08953e+12
0.002	1	2	2	1.10803e+12
0.003	1	3	3	1.12672e+12
0.004	1	4	4	1.14449e+12
0.005	1	5	5	1.16222e+12
0.006	1	6	6	5.09332e+11
0.007	1	7	7	1.893e+11
0.008	1	8	8	1.75013e+12
0.009	1	9	9	7.46801e+11
0.01	1	10	10	1.17534e+12
0.011	1	1	1	1.90533e+12
0.012	1	2	2	1.15311e+12
0.013	1	3	3	8.99819e+11
0.014	1	4	4	7.20593e+11
0.015	1	5	5	4.83406e+11
0.016	1	6	6	3.92765e+11
0.017	1	7	7	1.81e+11
0.018	1	8	8	1.71025e+12
0.019	1	9	9	8.50884e+11
0.02	1	10	10	1.33102e+12
0.021	1	1	1	1.67241e+12
0.022	1	2	2	1.19582e+12
0.023	1	3	3	1.3448e+12
0.024	1	4	4	7.38529e+11
0.025	1	5	5	4.36801e+11
0.026	1	6	6	3.03541e+11
0.027	1	7	7	2.19862e+11
0.028	1	8	8	1.48536e+12
0.029	1	9	9	9.5678e+11
0.03	1	10	10	1.44351e+12
0.031	1	1	1	1.46514e+12
0.032	1	2	2	1.1654e+12
0.033	1	3	3	1.89529e+12
0.034	1	4	4	6.94708e+11
0.035	1	5	5	5.88254e+11
0.036	1	6	6	2.69322e+11
0.037	1	7	7	2.82183e+11
0.038	1	8	8	1.14257e+12
0.039	1	9	9	1.00862e+12
0.04	1	10	10	1.47628e+12
0.041	1	1	1	1.3012e+12
0.042	1	2	2	1.05017e+12
0.043	1	3	3	2.45626e+12
0.044	1	4	4	6.01814e+11
0.045	1	5	5	8.81092e+11
0.046	1	6	6	3.02393e+11
0.047	1	7	7	3.44901e+11
0.048	1	8	8	7.8154e+11
0.049	1	9	9	9.73973e+11
0.05	1	10	10	1.42797e+12
0.051	1	1	1	1.18207e+12
0.052	1	2	2	8.68973e+11
0.053	1	3	3	2.91919e+12
0.054	1	4	4	4.90173e+11
0.055	1	5	5	1.20955e+12
0.056	1	6	6	3.96912e+11
0.057	1	7	7	3.92363e+11
0.058	1	8	8	5.16795e+11
0.059	1	9	9	8.53027e+11
0.06	1	10	10	1.3311e+12
0.061	1	1	1	1.09848e+12
0.062	1	2	2	6.64938e+11
0.063	1	3	3	3.19121e+12
0.064	1	4	4	3.95524e+11
0.065	1	5	5	1.4607e+12
0.066	1	6	6	5.32647e+11
0.067	1	7	7	4.18857e+11
0.068	1	8	8	4.29576e+11
0.069	1	9	9	6.73376e+11
0.07	1	10	10	1.24518e+12
0.071	1	1	1	1.03544e+12
0.072	1	2	2	4.81074e+11
0.073	1	3	3	3.21613e+12
0.074	1	4	4	3.49501e+11
0.075	1	5	5	1.5494e+12
0.076	1	6	6	6.86058e+11
0.077	1	7	7	4.27742e+11
0.078	1	8	8	5.44014e+11
0.079	1	9	9	4.83694e+11
0.08	1	10	10	1.22444e+12
0.081	1	1	1	9.8242e+11
0.082	1	2	2	3.52016e+11
0.083	1	3	3	3.00252e+12
0.084	1	4	4	3.71009e+11
0.085	1	5	5	1.44842e+12
0.086	1	6	6	8.34915e+11
0.087	1	7	7	4.24795e+11
0.088	1	8	8	8.15714e+11
0.089	1	9	9	3.3273e+11
0.09	1	10	10	1.30692e+12
0.091	1	1	1	9.33102e+11
0.092	1	2	2	2.91709e+11
0.093	1	3	3	2.60574e+12
0.094	1	4	4	4.59063e+11
0.095	1	5	5	1.20181e+12
0.096	1	6	6	9.64786e+11
0.097	1	7	7	4.13308e+11
0.098	1	8	8	1.14681e+12
0.099	1	9	9	2.57833e+11
0.1	1	10	10	1.49322e+12
0.101	1	1	1	8.85303e+11
0.102	1	2	2	2.94755e+11
0.103	1	3	3	2.12186e+12
0.104	1	4	4	5.93705e+11
0.105	1	5	5	9.06276e+11
0.106	1	6	6	1.06874e+12
0.107	1	7	7	3.93511e+11
0.108	1	8	8	1.42133e+12
0.109	1	9	9	2.73481e+11
0.11	1	10	10	1.7484e+12
0.111	1	1	1	8.43278e+11
0.112	1	2	2	3.4465e+11
0.113	1	3	3	1.66042e+12
0.114	1	4	4	7.40158e+11
0.115	1	5	5	6.71069e+11
0.116	1	6	6	1.14186e+12
0.117	1	7	7	3.63043e+11
0.118	1	8	8	1.54697e+12
0.119	1	9	9	3.69669e+11
0.12	1	10	10	2.01566e+12
0.121	1	1	1	8.08648e+11
0.122	1	2	2	4.20762e+11
0.123	1	3	3	1.30703e+12
0.124	1	4	4	8.58572e+11
0.125	1	5	5	5.84853e+11
0.126	1	6	6	1.17843e+12
0.127	1	7	7	3.21185e+11
0.128	1	8	8	1.48253e+12
0.129	1	9	9	5.17842e+11
0.13	1	10	10	2.23325e+12
0.131	1	1	1	7.81729e+11
0.132	1	2	2	5.05563e+11
0.133	1	3	3	1.10426e+12
0.134	1	4	4	9.1388e+11
0.135	1	5	5	6.76852e+11
0.136	1	6	6	1.16952e+12
0.137	1	7	7	2.74118e+11
0.138	1	8	8	1.2587e+12
0.139	1	9	9	6.79384e+11
0.14	1	10	10	2.34767e+12
0.141	1	1	1	7.6167e+11
0.142	1	2	2	5.9111e+11
0.143	1	3	3	1.04703e+12
0.144	1	4	4	8.89016e+11
0.145	1	5	5	9.09696e+11
0.146	1	6	6	1.10424e+12
0.147	1	7	7	2.37811e+11
0.148	1	8	8	9.6417e+11
0.149	1	9	9	8.15491e+11
0.15	1	10	10	2.34066e+12
0.151	1	1	1	7.48968e+11
0.152	1	2	2	6.74915e+11
0.153	1	3	3	1.08806e+12
0.154	1	4	4	7.85124e+11
