SINR[1][1]=0.0338691 and in dB, it is -14.702
SINR[1][2]=0.236054 and in dB, it is -6.26989
SINR[2][1]=0.00251859 and in dB, it is -25.9884
SINR[2][2]=0.0520375 and in dB, it is -12.8368
SINR[3][1]=0.0671466 and in dB, it is -11.7298
SINR[3][2]=0.248177 and in dB, it is -6.05239
SINR[4][1]=0.000776663 and in dB, it is -31.0977
SINR[4][2]=0.1169 and in dB, it is -9.32187
SINR[5][1]=0.00186917 and in dB, it is -27.2835
SINR[5][2]=0.479913 and in dB, it is -3.18838
SINR[6][1]=0.000867336 and in dB, it is -30.6181
SINR[6][2]=0.125804 and in dB, it is -9.00304
SINR[7][1]=0.00391543 and in dB, it is -24.0722
SINR[7][2]=4.88989 and in dB, it is 6.89299
SINR[8][1]=0.000827017 and in dB, it is -30.8249
SINR[8][2]=0.183479 and in dB, it is -7.36413
SINR[9][1]=0.0185547 and in dB, it is -17.3155
SINR[9][2]=0.734239 and in dB, it is -1.34163
SINR[10][1]=0.00150815 and in dB, it is -28.2156
SINR[10][2]=0.03968 and in dB, it is -14.0143
SINR[11][1]=0.0178227 and in dB, it is -17.4903
SINR[11][2]=80.2126 and in dB, it is 19.0424
SINR[12][1]=0.0208211 and in dB, it is -16.815
SINR[12][2]=0.482644 and in dB, it is -3.16373
SINR[13][1]=0.00148604 and in dB, it is -28.2797
SINR[13][2]=0.434811 and in dB, it is -3.61699
SINR[14][1]=0.000649657 and in dB, it is -31.8732
SINR[14][2]=0.17159 and in dB, it is -7.65508
SINR[15][1]=0.00348645 and in dB, it is -24.5762
SINR[15][2]=2.09952 and in dB, it is 3.22121
SINR[16][1]=0.00856185 and in dB, it is -20.6743
SINR[16][2]=0.113008 and in dB, it is -9.46889
SINR[17][1]=0.00128392 and in dB, it is -28.9146
SINR[17][2]=0.186829 and in dB, it is -7.28557
SINR[18][1]=0.00198969 and in dB, it is -27.0121
SINR[18][2]=0.625793 and in dB, it is -2.03569
SINR[19][1]=0.00269627 and in dB, it is -25.6924
SINR[19][2]=2.1532 and in dB, it is 3.33084
SINR[20][1]=0.00137369 and in dB, it is -28.6211
SINR[20][2]=0.583731 and in dB, it is -2.33787
SINR[21][1]=0.00564506 and in dB, it is -22.4833
SINR[21][2]=15.6205 and in dB, it is 11.937
SINR[22][1]=0.0326211 and in dB, it is -14.865
SINR[22][2]=1.13261 and in dB, it is 0.540816
SINR[23][1]=0.00511705 and in dB, it is -22.9098
SINR[23][2]=0.0886498 and in dB, it is -10.5232
SINR[24][1]=0.0268697 and in dB, it is -15.7074
SINR[24][2]=40.7272 and in dB, it is 16.0988
SINR[25][1]=0.130522 and in dB, it is -8.84318
SINR[25][2]=36.0841 and in dB, it is 15.5732
SINR[26][1]=0.00322462 and in dB, it is -24.9152
SINR[26][2]=0.221397 and in dB, it is -6.54828
SINR[27][1]=0.0213212 and in dB, it is -16.7119
SINR[27][2]=0.153696 and in dB, it is -8.13337
SINR[28][1]=0.00181886 and in dB, it is -27.402
SINR[28][2]=0.443048 and in dB, it is -3.5355
SINR[29][1]=0.000700367 and in dB, it is -31.5467
SINR[29][2]=0.202993 and in dB, it is -6.9252
SINR[30][1]=0.0324357 and in dB, it is -14.8898
SINR[30][2]=79.5672 and in dB, it is 19.0073
SINR[31][1]=0.000700519 and in dB, it is -31.5458
SINR[31][2]=0.208888 and in dB, it is -6.80088
SINR[32][1]=0.271433 and in dB, it is -5.66337
SINR[32][2]=5.6588 and in dB, it is 7.52724
SINR[33][1]=0.00120835 and in dB, it is -29.1781
SINR[33][2]=0.155261 and in dB, it is -8.08938
SINR[34][1]=0.0615486 and in dB, it is -12.1078
SINR[34][2]=1.30197 and in dB, it is 1.14602
SINR[35][1]=0.00338189 and in dB, it is -24.7084
SINR[35][2]=0.324574 and in dB, it is -4.88687
SINR[36][1]=0.00103064 and in dB, it is -29.8689
SINR[36][2]=0.171795 and in dB, it is -7.64988
SINR[37][1]=0.00117307 and in dB, it is -29.3068
SINR[37][2]=0.151883 and in dB, it is -8.18491
SINR[38][1]=0.0319517 and in dB, it is -14.9551
SINR[38][2]=2.03861 and in dB, it is 3.09333
SINR[39][1]=0.00681065 and in dB, it is -21.6681
SINR[39][2]=0.161979 and in dB, it is -7.90541
SINR[40][1]=0.0703236 and in dB, it is -11.529
SINR[40][2]=0.224302 and in dB, it is -6.49168
SINR[41][1]=0.732233 and in dB, it is -1.35351
SINR[41][2]=4.38755 and in dB, it is 6.42223
SINR[42][1]=0.0158125 and in dB, it is -18.01
SINR[42][2]=55.887 and in dB, it is 17.4731
SINR[43][1]=0.0103511 and in dB, it is -19.8501
SINR[43][2]=0.191674 and in dB, it is -7.17436
SINR[44][1]=0.00497075 and in dB, it is -23.0358
SINR[44][2]=0.142485 and in dB, it is -8.4623
SINR[45][1]=0.00132268 and in dB, it is -28.7854
SINR[45][2]=0.475302 and in dB, it is -3.2303
SINR[46][1]=0.0023224 and in dB, it is -26.3406
SINR[46][2]=0.903218 and in dB, it is -0.442073
SINR[47][1]=0.00275237 and in dB, it is -25.6029
SINR[47][2]=0.0965476 and in dB, it is -10.1526
SINR[48][1]=0.00805293 and in dB, it is -20.9405
SINR[48][2]=0.269597 and in dB, it is -5.69284
SINR[49][1]=0.0546652 and in dB, it is -12.6229
SINR[49][2]=0.200849 and in dB, it is -6.97129
SINR[50][1]=0.586798 and in dB, it is -2.31511
SINR[50][2]=0.298446 and in dB, it is -5.25134
SINR[51][1]=0.00109766 and in dB, it is -29.5953
SINR[51][2]=0.213794 and in dB, it is -6.70004
SINR[52][1]=0.00393733 and in dB, it is -24.048
SINR[52][2]=2.81327 and in dB, it is 4.49211
SINR[53][1]=0.000372542 and in dB, it is -34.2883
SINR[53][2]=0.0550257 and in dB, it is -12.5943
SINR[54][1]=0.00310637 and in dB, it is -25.0775
SINR[54][2]=0.062953 and in dB, it is -12.0098
SINR[55][1]=0.00057405 and in dB, it is -32.4105
SINR[55][2]=0.107986 and in dB, it is -9.66633
SINR[56][1]=0.00157381 and in dB, it is -28.0305
SINR[56][2]=0.422337 and in dB, it is -3.7434
SINR[57][1]=0.00255433 and in dB, it is -25.9272
SINR[57][2]=0.72337 and in dB, it is -1.40639
SINR[58][1]=0.00210885 and in dB, it is -26.7596
SINR[58][2]=0.447758 and in dB, it is -3.48957
SINR[59][1]=0.00518291 and in dB, it is -22.8543
SINR[59][2]=0.408324 and in dB, it is -3.88995
SINR[60][1]=0.000515325 and in dB, it is -32.8792
SINR[60][2]=0.106536 and in dB, it is -9.72505
SINR[61][1]=0.0119473 and in dB, it is -19.2273
SINR[61][2]=18.8415 and in dB, it is 12.7511
SINR[62][1]=0.000570493 and in dB, it is -32.4375
SINR[62][2]=0.128168 and in dB, it is -8.92222
SINR[63][1]=0.00212216 and in dB, it is -26.7322
SINR[63][2]=0.550563 and in dB, it is -2.59193
SINR[64][1]=0.00391964 and in dB, it is -24.0675
SINR[64][2]=1.32428 and in dB, it is 1.21979
SINR[65][1]=0.000972076 and in dB, it is -30.123
SINR[65][2]=0.259907 and in dB, it is -5.85183
SINR[66][1]=4.90577 and in dB, it is 6.90707
SINR[66][2]=0.384871 and in dB, it is -4.14684
SINR[67][1]=0.00138721 and in dB, it is -28.5786
SINR[67][2]=0.196982 and in dB, it is -7.05574
SINR[68][1]=0.00087195 and in dB, it is -30.5951
SINR[68][2]=0.297698 and in dB, it is -5.26224
SINR[69][1]=0.000377293 and in dB, it is -34.2332
SINR[69][2]=0.0606809 and in dB, it is -12.1695
SINR[70][1]=0.00214244 and in dB, it is -26.6909
